sample_id,strategy,timestamp,grid_x,grid_y,spacing_m,lon,lat
grid_sampling_0001_0001,grid_sampling,2026-01-26T02:07:28.517104,1,1,200,9.18211402376953,45.45211402376953
grid_sampling_0001_0002,grid_sampling,2026-01-26T02:07:28.517104,1,2,200,9.18211402376953,45.45422804753906
grid_sampling_0001_0003,grid_sampling,2026-01-26T02:07:28.517104,1,3,200,9.18211402376953,45.45634207130859
grid_sampling_0001_0004,grid_sampling,2026-01-26T02:07:28.517104,1,4,200,9.18211402376953,45.45845609507812
grid_sampling_0001_0005,grid_sampling,2026-01-26T02:07:28.517104,1,5,200,9.18211402376953,45.46057011884765
grid_sampling_0001_0006,grid_sampling,2026-01-26T02:07:28.517104,1,6,200,9.18211402376953,45.46268414261718
grid_sampling_0001_0007,grid_sampling,2026-01-26T02:07:28.517104,1,7,200,9.18211402376953,45.46479816638671
grid_sampling_0001_0008,grid_sampling,2026-01-26T02:07:28.517104,1,8,200,9.18211402376953,45.466912190156236
grid_sampling_0001_0009,grid_sampling,2026-01-26T02:07:28.517104,1,9,200,9.18211402376953,45.469026213925765
grid_sampling_0002_0001,grid_sampling,2026-01-26T02:07:28.517104,2,1,200,9.184228047539062,45.45211402376953
grid_sampling_0002_0002,grid_sampling,2026-01-26T02:07:28.517104,2,2,200,9.184228047539062,45.45422804753906
grid_sampling_0002_0003,grid_sampling,2026-01-26T02:07:28.517104,2,3,200,9.184228047539062,45.45634207130859
grid_sampling_0002_0004,grid_sampling,2026-01-26T02:07:28.517104,2,4,200,9.184228047539062,45.45845609507812
grid_sampling_0002_0005,grid_sampling,2026-01-26T02:07:28.517104,2,5,200,9.184228047539062,45.46057011884765
grid_sampling_0002_0006,grid_sampling,2026-01-26T02:07:28.517104,2,6,200,9.184228047539062,45.46268414261718
grid_sampling_0002_0007,grid_sampling,2026-01-26T02:07:28.517104,2,7,200,9.184228047539062,45.46479816638671
grid_sampling_0002_0008,grid_sampling,2026-01-26T02:07:28.517104,2,8,200,9.184228047539062,45.466912190156236
grid_sampling_0002_0009,grid_sampling,2026-01-26T02:07:28.517104,2,9,200,9.184228047539062,45.469026213925765
grid_sampling_0003_0001,grid_sampling,2026-01-26T02:07:28.517104,3,1,200,9.186342071308593,45.45211402376953
grid_sampling_0003_0002,grid_sampling,2026-01-26T02:07:28.517104,3,2,200,9.186342071308593,45.45422804753906
grid_sampling_0003_0003,grid_sampling,2026-01-26T02:07:28.517104,3,3,200,9.186342071308593,45.45634207130859
grid_sampling_0003_0004,grid_sampling,2026-01-26T02:07:28.517104,3,4,200,9.186342071308593,45.45845609507812
grid_sampling_0003_0005,grid_sampling,2026-01-26T02:07:28.517104,3,5,200,9.186342071308593,45.46057011884765
grid_sampling_0003_0006,grid_sampling,2026-01-26T02:07:28.517104,3,6,200,9.186342071308593,45.46268414261718
grid_sampling_0003_0007,grid_sampling,2026-01-26T02:07:28.517104,3,7,200,9.186342071308593,45.46479816638671
grid_sampling_0003_0008,grid_sampling,2026-01-26T02:07:28.517104,3,8,200,9.186342071308593,45.466912190156236
grid_sampling_0003_0009,grid_sampling,2026-01-26T02:07:28.517104,3,9,200,9.186342071308593,45.469026213925765
grid_sampling_0004_0001,grid_sampling,2026-01-26T02:07:28.517104,4,1,200,9.188456095078124,45.45211402376953
grid_sampling_0004_0002,grid_sampling,2026-01-26T02:07:28.517104,4,2,200,9.188456095078124,45.45422804753906
grid_sampling_0004_0003,grid_sampling,2026-01-26T02:07:28.517104,4,3,200,9.188456095078124,45.45634207130859
grid_sampling_0004_0004,grid_sampling,2026-01-26T02:07:28.517104,4,4,200,9.188456095078124,45.45845609507812
grid_sampling_0004_0005,grid_sampling,2026-01-26T02:07:28.517104,4,5,200,9.188456095078124,45.46057011884765
grid_sampling_0004_0006,grid_sampling,2026-01-26T02:07:28.517104,4,6,200,9.188456095078124,45.46268414261718
grid_sampling_0004_0007,grid_sampling,2026-01-26T02:07:28.517104,4,7,200,9.188456095078124,45.46479816638671
grid_sampling_0004_0008,grid_sampling,2026-01-26T02:07:28.517104,4,8,200,9.188456095078124,45.466912190156236
grid_sampling_0004_0009,grid_sampling,2026-01-26T02:07:28.517104,4,9,200,9.188456095078124,45.469026213925765
grid_sampling_0005_0001,grid_sampling,2026-01-26T02:07:28.517104,5,1,200,9.190570118847655,45.45211402376953
grid_sampling_0005_0002,grid_sampling,2026-01-26T02:07:28.517104,5,2,200,9.190570118847655,45.45422804753906
grid_sampling_0005_0003,grid_sampling,2026-01-26T02:07:28.517104,5,3,200,9.190570118847655,45.45634207130859
grid_sampling_0005_0004,grid_sampling,2026-01-26T02:07:28.517104,5,4,200,9.190570118847655,45.45845609507812
grid_sampling_0005_0005,grid_sampling,2026-01-26T02:07:28.517104,5,5,200,9.190570118847655,45.46057011884765
grid_sampling_0005_0006,grid_sampling,2026-01-26T02:07:28.517104,5,6,200,9.190570118847655,45.46268414261718
grid_sampling_0005_0007,grid_sampling,2026-01-26T02:07:28.517104,5,7,200,9.190570118847655,45.46479816638671
grid_sampling_0005_0008,grid_sampling,2026-01-26T02:07:28.517104,5,8,200,9.190570118847655,45.466912190156236
grid_sampling_0005_0009,grid_sampling,2026-01-26T02:07:28.517104,5,9,200,9.190570118847655,45.469026213925765
grid_sampling_0006_0001,grid_sampling,2026-01-26T02:07:28.517104,6,1,200,9.192684142617185,45.45211402376953
grid_sampling_0006_0002,grid_sampling,2026-01-26T02:07:28.517104,6,2,200,9.192684142617185,45.45422804753906
grid_sampling_0006_0003,grid_sampling,2026-01-26T02:07:28.517104,6,3,200,9.192684142617185,45.45634207130859
grid_sampling_0006_0004,grid_sampling,2026-01-26T02:07:28.517104,6,4,200,9.192684142617185,45.45845609507812
grid_sampling_0006_0005,grid_sampling,2026-01-26T02:07:28.517104,6,5,200,9.192684142617185,45.46057011884765
grid_sampling_0006_0006,grid_sampling,2026-01-26T02:07:28.517104,6,6,200,9.192684142617185,45.46268414261718
grid_sampling_0006_0007,grid_sampling,2026-01-26T02:07:28.517104,6,7,200,9.192684142617185,45.46479816638671
grid_sampling_0006_0008,grid_sampling,2026-01-26T02:07:28.517104,6,8,200,9.192684142617185,45.466912190156236
grid_sampling_0006_0009,grid_sampling,2026-01-26T02:07:28.517104,6,9,200,9.192684142617185,45.469026213925765
grid_sampling_0007_0001,grid_sampling,2026-01-26T02:07:28.517104,7,1,200,9.194798166386716,45.45211402376953
grid_sampling_0007_0002,grid_sampling,2026-01-26T02:07:28.517104,7,2,200,9.194798166386716,45.45422804753906
grid_sampling_0007_0003,grid_sampling,2026-01-26T02:07:28.517104,7,3,200,9.194798166386716,45.45634207130859
grid_sampling_0007_0004,grid_sampling,2026-01-26T02:07:28.517104,7,4,200,9.194798166386716,45.45845609507812
grid_sampling_0007_0005,grid_sampling,2026-01-26T02:07:28.517104,7,5,200,9.194798166386716,45.46057011884765
grid_sampling_0007_0006,grid_sampling,2026-01-26T02:07:28.517104,7,6,200,9.194798166386716,45.46268414261718
grid_sampling_0007_0007,grid_sampling,2026-01-26T02:07:28.517104,7,7,200,9.194798166386716,45.46479816638671
grid_sampling_0007_0008,grid_sampling,2026-01-26T02:07:28.517104,7,8,200,9.194798166386716,45.466912190156236
grid_sampling_0007_0009,grid_sampling,2026-01-26T02:07:28.517104,7,9,200,9.194798166386716,45.469026213925765
grid_sampling_0008_0001,grid_sampling,2026-01-26T02:07:28.517104,8,1,200,9.196912190156247,45.45211402376953
grid_sampling_0008_0002,grid_sampling,2026-01-26T02:07:28.517104,8,2,200,9.196912190156247,45.45422804753906
grid_sampling_0008_0003,grid_sampling,2026-01-26T02:07:28.517104,8,3,200,9.196912190156247,45.45634207130859
grid_sampling_0008_0004,grid_sampling,2026-01-26T02:07:28.517104,8,4,200,9.196912190156247,45.45845609507812
grid_sampling_0008_0005,grid_sampling,2026-01-26T02:07:28.517104,8,5,200,9.196912190156247,45.46057011884765
grid_sampling_0008_0006,grid_sampling,2026-01-26T02:07:28.517104,8,6,200,9.196912190156247,45.46268414261718
grid_sampling_0008_0007,grid_sampling,2026-01-26T02:07:28.517104,8,7,200,9.196912190156247,45.46479816638671
grid_sampling_0008_0008,grid_sampling,2026-01-26T02:07:28.517104,8,8,200,9.196912190156247,45.466912190156236
grid_sampling_0008_0009,grid_sampling,2026-01-26T02:07:28.517104,8,9,200,9.196912190156247,45.469026213925765
grid_sampling_0009_0001,grid_sampling,2026-01-26T02:07:28.517104,9,1,200,9.199026213925778,45.45211402376953
grid_sampling_0009_0002,grid_sampling,2026-01-26T02:07:28.517104,9,2,200,9.199026213925778,45.45422804753906
grid_sampling_0009_0003,grid_sampling,2026-01-26T02:07:28.517104,9,3,200,9.199026213925778,45.45634207130859
grid_sampling_0009_0004,grid_sampling,2026-01-26T02:07:28.517104,9,4,200,9.199026213925778,45.45845609507812
grid_sampling_0009_0005,grid_sampling,2026-01-26T02:07:28.517104,9,5,200,9.199026213925778,45.46057011884765
grid_sampling_0009_0006,grid_sampling,2026-01-26T02:07:28.517104,9,6,200,9.199026213925778,45.46268414261718
grid_sampling_0009_0007,grid_sampling,2026-01-26T02:07:28.517104,9,7,200,9.199026213925778,45.46479816638671
grid_sampling_0009_0008,grid_sampling,2026-01-26T02:07:28.517104,9,8,200,9.199026213925778,45.466912190156236
grid_sampling_0009_0009,grid_sampling,2026-01-26T02:07:28.517104,9,9,200,9.199026213925778,45.469026213925765
